date,team,team_raw,1
2026-01-09,Premier League,Premier League,Premier League
2026-01-09,Championship,Championship,stats
2026-01-09,League One,League One,stats
2026-01-09,League Two,League Two,stats
2026-01-09,National League,National League,stats
2026-01-09,National L. North,National L. North,stats
2026-01-09,National L. South,National L. South,stats
2026-01-09,Isthmian league,Isthmian league,stats
2026-01-09,Northern league,Northern league,stats
2026-01-09,Southern Central,Southern Central,stats
2026-01-09,Southern South,Southern South,stats
2026-01-09,Premier League 2,Premier League 2,stats
2026-01-09,Women Super League,Women Super League,stats
2026-01-09,WSL 2,WSL 2,stats
2026-01-09,Professional Development League,Professional Development League,stats
