date,team,team_raw,1
2025-12-19,Premier League,Premier League,Premier League
2025-12-19,Championship,Championship,stats
2025-12-19,League One,League One,stats
2025-12-19,League Two,League Two,stats
2025-12-19,National League,National League,stats
2025-12-19,National L. North,National L. North,stats
2025-12-19,National L. South,National L. South,stats
2025-12-19,Isthmian league,Isthmian league,stats
2025-12-19,Northern league,Northern league,stats
2025-12-19,Southern Central,Southern Central,stats
2025-12-19,Southern South,Southern South,stats
2025-12-19,Premier League 2,Premier League 2,stats
2025-12-19,Women Super League,Women Super League,stats
2025-12-19,WSL 2,WSL 2,stats
2025-12-19,Professional Development League,Professional Development League,stats
