date,team,team_raw,1
2025-11-25,Premier League,Premier League,Premier League
2025-11-25,Championship,Championship,stats
2025-11-25,League One,League One,stats
2025-11-25,League Two,League Two,stats
2025-11-25,National League,National League,stats
2025-11-25,National L. North,National L. North,stats
2025-11-25,National L. South,National L. South,stats
2025-11-25,Isthmian league,Isthmian league,stats
2025-11-25,Northern league,Northern league,stats
2025-11-25,Southern Central,Southern Central,stats
2025-11-25,Southern South,Southern South,stats
2025-11-25,Premier League 2,Premier League 2,stats
2025-11-25,Women Super League,Women Super League,stats
2025-11-25,WSL 2,WSL 2,stats
2025-11-25,Professional Development League,Professional Development League,stats
