date,team,team_raw,1
2025-12-31,Premier League,Premier League,Premier League
2025-12-31,Championship,Championship,stats
2025-12-31,League One,League One,stats
2025-12-31,League Two,League Two,stats
2025-12-31,National League,National League,stats
2025-12-31,National L. North,National L. North,stats
2025-12-31,National L. South,National L. South,stats
2025-12-31,Isthmian league,Isthmian league,stats
2025-12-31,Northern league,Northern league,stats
2025-12-31,Southern Central,Southern Central,stats
2025-12-31,Southern South,Southern South,stats
2025-12-31,Premier League 2,Premier League 2,stats
2025-12-31,Women Super League,Women Super League,stats
2025-12-31,WSL 2,WSL 2,stats
2025-12-31,Professional Development League,Professional Development League,stats
